ImageNumber,DICE,,,,,,,,0.1220394949
00012105.jpg,0.4464501773,,,,,,,,
00012106.jpg,0.4897763272,,,,,,,,
00012107.jpg,0.5202436762,,,,,,,,
00012108.jpg,0,,,,,,,,
00012109.jpg,0,,,,,,,,
00012110.jpg,0,,,,,,,,
00012111.jpg,0.4778625073,,,,,,,,
00012112.jpg,0.4714064915,,,,,,,,
00012113.jpg,0.5754984067,,,,,,,,
00012114.jpg,0,,,,,,,,
00012115.jpg,0.0786369594,,,,,,,,
00012116.jpg,0.4480880097,,,,,,,,
00012117.jpg,0,,,,,,,,
00012118.jpg,0,,,,,,,,
00012119.jpg,0,,,,,,,,
00012120.jpg,0,,,,,,,,
00012121.jpg,0,,,,,,,,
00012122.jpg,0,,,,,,,,
00012123.jpg,0,,,,,,,,
00012124.jpg,0,,,,,,,,
00012125.jpg,0,,,,,,,,
00012126.jpg,0,,,,,,,,
00012127.jpg,0,,,,,,,,
00012128.jpg,0,,,,,,,,
00012129.jpg,0.4515703241,,,,,,,,
00012130.jpg,0,,,,,,,,
00012131.jpg,0,,,,,,,,
00012132.jpg,0,,,,,,,,
00012133.jpg,0,,,,,,,,
00012134.jpg,0,,,,,,,,
00012135.jpg,0,,,,,,,,
00012136.jpg,0,,,,,,,,
00012137.jpg,0,,,,,,,,
00012138.jpg,0.4761806345,,,,,,,,
00012139.jpg,0.103354389,,,,,,,,
00012140.jpg,0,,,,,,,,
00012141.jpg,0,,,,,,,,
00012142.jpg,0,,,,,,,,
00012143.jpg,0,,,,,,,,
00012144.jpg,0,,,,,,,,
00012145.jpg,0,,,,,,,,
00012146.jpg,0,,,,,,,,
00012147.jpg,0,,,,,,,,
00012148.jpg,0,,,,,,,,
00012149.jpg,0.4494739383,,,,,,,,
00012150.jpg,0,,,,,,,,
00012151.jpg,0,,,,,,,,
00012152.jpg,0,,,,,,,,
00012153.jpg,0,,,,,,,,
00012154.jpg,0,,,,,,,,
00012155.jpg,0,,,,,,,,
00012156.jpg,0,,,,,,,,
00012157.jpg,0,,,,,,,,
00012158.jpg,0,,,,,,,,
00012159.jpg,0.0140252454,,,,,,,,
00012160.jpg,0.4504478885,,,,,,,,
00012161.jpg,0.4553769185,,,,,,,,
00012162.jpg,0.1100556829,,,,,,,,
00012163.jpg,0.4202604638,,,,,,,,
00012164.jpg,0.2779490197,,,,,,,,
00012165.jpg,0.0730964467,,,,,,,,
00012166.jpg,0,,,,,,,,
00012167.jpg,0.456080302,,,,,,,,
00012168.jpg,0,,,,,,,,
00012169.jpg,0,,,,,,,,
00012170.jpg,0.1252944956,,,,,,,,
00012171.jpg,0.4537028143,,,,,,,,
00012172.jpg,0.4371572298,,,,,,,,
00012173.jpg,0,,,,,,,,
00012174.jpg,0.4131018073,,,,,,,,
00012175.jpg,0,,,,,,,,
00012176.jpg,0.4531603843,,,,,,,,
00012177.jpg,0,,,,,,,,
00012178.jpg,0,,,,,,,,
00012179.jpg,0,,,,,,,,
00012180.jpg,0,,,,,,,,
00012181.jpg,0,,,,,,,,
00012182.jpg,0,,,,,,,,
00012183.jpg,0,,,,,,,,
00012184.jpg,0,,,,,,,,
00012185.jpg,0,,,,,,,,
00012186.jpg,0,,,,,,,,
00012187.jpg,0,,,,,,,,
00012188.jpg,0.4493498892,,,,,,,,
00012189.jpg,0.5387202699,,,,,,,,
00012190.jpg,0,,,,,,,,
00012191.jpg,0,,,,,,,,
00012192.jpg,0,,,,,,,,
00012193.jpg,0,,,,,,,,
00012194.jpg,0,,,,,,,,
00012195.jpg,0,,,,,,,,
00012196.jpg,0,,,,,,,,
00012197.jpg,0,,,,,,,,
00012198.jpg,0.2921762547,,,,,,,,
00012199.jpg,0,,,,,,,,
00012200.jpg,0,,,,,,,,
00012201.jpg,0.458576654,,,,,,,,
00012202.jpg,0.4313392731,,,,,,,,
00012203.jpg,0.046611334,,,,,,,,
00012204.jpg,0,,,,,,,,
00012205.jpg,0.022943781,,,,,,,,
00012206.jpg,0.2484909457,,,,,,,,
00012207.jpg,0,,,,,,,,
00012208.jpg,0,,,,,,,,
00012209.jpg,0,,,,,,,,
00012210.jpg,0.4553985171,,,,,,,,
00012211.jpg,0.030298346,,,,,,,,
00012212.jpg,0.4774193548,,,,,,,,
00012213.jpg,0,,,,,,,,
00012214.jpg,0,,,,,,,,
00012215.jpg,0.4720543024,,,,,,,,
00012216.jpg,0.4553779891,,,,,,,,
00012217.jpg,0,,,,,,,,
00012218.jpg,0,,,,,,,,
00012219.jpg,0,,,,,,,,
00012220.jpg,0,,,,,,,,
00012221.jpg,0,,,,,,,,
00012222.jpg,0,,,,,,,,
00012223.jpg,0,,,,,,,,
00012224.jpg,0,,,,,,,,
00012225.jpg,0,,,,,,,,
00012226.jpg,0,,,,,,,,
00012227.jpg,0,,,,,,,,
00012228.jpg,0.4076033133,,,,,,,,
00012229.jpg,0.4214318592,,,,,,,,
00012230.jpg,0,,,,,,,,
00012231.jpg,0,,,,,,,,
00012232.jpg,0,,,,,,,,
00012233.jpg,0,,,,,,,,
00012234.jpg,0,,,,,,,,
00012235.jpg,0,,,,,,,,
00012236.jpg,0,,,,,,,,
00012237.jpg,0,,,,,,,,
00012238.jpg,0.4062059238,,,,,,,,
00012239.jpg,0.4779703487,,,,,,,,
00012240.jpg,0,,,,,,,,
00012241.jpg,0,,,,,,,,
00012242.jpg,0,,,,,,,,
00012243.jpg,0,,,,,,,,
00012244.jpg,0,,,,,,,,
00012245.jpg,0,,,,,,,,
00012246.jpg,0,,,,,,,,
00012247.jpg,0,,,,,,,,
00012248.jpg,0.4683656401,,,,,,,,
00012249.jpg,0,,,,,,,,
00012250.jpg,0,,,,,,,,
00012251.jpg,0,,,,,,,,
00012252.jpg,0,,,,,,,,
00012253.jpg,0,,,,,,,,
00012254.jpg,0,,,,,,,,
00012255.jpg,0,,,,,,,,
00012256.jpg,0,,,,,,,,
00012257.jpg,0,,,,,,,,
00012258.jpg,0.3532720646,,,,,,,,
00012259.jpg,0.055924125,,,,,,,,
00012260.jpg,0.1254319281,,,,,,,,
00012261.jpg,0,,,,,,,,
00012262.jpg,0.4035572428,,,,,,,,
00012263.jpg,0.1640459569,,,,,,,,
00012264.jpg,0.051256496,,,,,,,,
00012265.jpg,0.425702349,,,,,,,,
00012266.jpg,0.4403491231,,,,,,,,
00012267.jpg,0.0286689905,,,,,,,,
00012268.jpg,0,,,,,,,,
00012269.jpg,0,,,,,,,,
00012270.jpg,0.4539561076,,,,,,,,
00012271.jpg,0.3953393784,,,,,,,,
00012272.jpg,0.5140946011,,,,,,,,
00012273.jpg,0,,,,,,,,
00012274.jpg,0,,,,,,,,
00012275.jpg,0,,,,,,,,
00012276.jpg,0.4134624988,,,,,,,,
00012277.jpg,0,,,,,,,,
00012278.jpg,0,,,,,,,,
00012279.jpg,0,,,,,,,,
00012280.jpg,0,,,,,,,,
00012281.jpg,0,,,,,,,,
00012282.jpg,0,,,,,,,,
00012283.jpg,0,,,,,,,,
00012284.jpg,0,,,,,,,,
00012285.jpg,0,,,,,,,,
00012286.jpg,0,,,,,,,,
00012287.jpg,0,,,,,,,,
00012288.jpg,0.2239297475,,,,,,,,
00012289.jpg,0.4372469636,,,,,,,,
00012290.jpg,0,,,,,,,,
00012291.jpg,0,,,,,,,,
00012292.jpg,0,,,,,,,,
00012293.jpg,0,,,,,,,,
00012294.jpg,0,,,,,,,,
00012295.jpg,0,,,,,,,,
00012296.jpg,0,,,,,,,,
00012297.jpg,0,,,,,,,,
00012298.jpg,0.472428482,,,,,,,,
00012299.jpg,0,,,,,,,,
00012300.jpg,0.3584637269,,,,,,,,
00012301.jpg,0.4833766649,,,,,,,,
00012302.jpg,0.441426146,,,,,,,,
00012303.jpg,0.4659528908,,,,,,,,
00012304.jpg,0.6691844834,,,,,,,,
00012305.jpg,0.4447049787,,,,,,,,
00012306.jpg,0.3093828006,,,,,,,,
00012307.jpg,0,,,,,,,,
00012308.jpg,0,,,,,,,,
00012310.jpg,0.1056222363,,,,,,,,
00012311.jpg,0.307394937,,,,,,,,
00012312.jpg,0.5483635606,,,,,,,,
00012313.jpg,0.4600759245,,,,,,,,
00012314.jpg,0.1899891041,,,,,,,,
00012315.jpg,0,,,,,,,,
00012316.jpg,0.161070131,,,,,,,,
00012317.jpg,0,,,,,,,,
00012318.jpg,0,,,,,,,,
00012319.jpg,0,,,,,,,,
00012320.jpg,0,,,,,,,,
00012321.jpg,0,,,,,,,,
00012322.jpg,0,,,,,,,,
00012323.jpg,0,,,,,,,,
00012324.jpg,0,,,,,,,,
00012325.jpg,0,,,,,,,,
00012326.jpg,0,,,,,,,,
00012327.jpg,0,,,,,,,,
00012328.jpg,0,,,,,,,,
00012329.jpg,0.0224402129,,,,,,,,
00012330.jpg,0,,,,,,,,
00012331.jpg,0,,,,,,,,
00012332.jpg,0,,,,,,,,
00012333.jpg,0,,,,,,,,
00012334.jpg,0,,,,,,,,
00012335.jpg,0,,,,,,,,
00012336.jpg,0,,,,,,,,
00012337.jpg,0,,,,,,,,
00012338.jpg,0,,,,,,,,
00012339.jpg,0.4479970599,,,,,,,,
00012340.jpg,0,,,,,,,,
00012341.jpg,0,,,,,,,,
00012342.jpg,0,,,,,,,,
00012343.jpg,0,,,,,,,,
00012344.jpg,0,,,,,,,,
00012345.jpg,0,,,,,,,,
00012346.jpg,0,,,,,,,,
00012347.jpg,0,,,,,,,,
00012348.jpg,0.6170355997,,,,,,,,
00012349.jpg,0,,,,,,,,
00012350.jpg,0,,,,,,,,
00012351.jpg,0,,,,,,,,
00012352.jpg,0,,,,,,,,
00012353.jpg,0,,,,,,,,
00012354.jpg,0,,,,,,,,
00012355.jpg,0,,,,,,,,
00012356.jpg,0,,,,,,,,
00012357.jpg,0,,,,,,,,
00012358.jpg,0.3770046435,,,,,,,,
00012359.jpg,0.4603891103,,,,,,,,
00012360.jpg,0.4503834912,,,,,,,,
00012361.jpg,0.448172685,,,,,,,,
00012362.jpg,0.461120513,,,,,,,,
00012363.jpg,0.5100577226,,,,,,,,
00012364.jpg,0.4416558268,,,,,,,,
00012365.jpg,0,,,,,,,,
00012366.jpg,0.0978013896,,,,,,,,
00012367.jpg,0,,,,,,,,
00012368.jpg,0,,,,,,,,
00012369.jpg,0,,,,,,,,
00012370.jpg,0,,,,,,,,
00012371.jpg,0,,,,,,,,
00012372.jpg,0.490925869,,,,,,,,
00012373.jpg,0.0738825268,,,,,,,,
00012374.jpg,0,,,,,,,,
00012375.jpg,0,,,,,,,,
00012376.jpg,0.0229979466,,,,,,,,
00012377.jpg,0.5368543743,,,,,,,,
00012378.jpg,0,,,,,,,,
00012379.jpg,0,,,,,,,,
00012380.jpg,0,,,,,,,,
00012381.jpg,0,,,,,,,,
00012382.jpg,0,,,,,,,,
00012383.jpg,0,,,,,,,,
00012384.jpg,0,,,,,,,,
00012385.jpg,0,,,,,,,,
00012386.jpg,0,,,,,,,,
00012387.jpg,0,,,,,,,,
00012388.jpg,0.4860084027,,,,,,,,
00012389.jpg,0,,,,,,,,
00012390.jpg,0,,,,,,,,
00012391.jpg,0,,,,,,,,
00012392.jpg,0,,,,,,,,
00012393.jpg,0,,,,,,,,
00012394.jpg,0,,,,,,,,
00012395.jpg,0,,,,,,,,
00012396.jpg,0,,,,,,,,
00012397.jpg,0,,,,,,,,
00012398.jpg,0,,,,,,,,
00012399.jpg,0,,,,,,,,
00012400.jpg,0,,,,,,,,
00012401.jpg,0.3638066026,,,,,,,,
00012402.jpg,0,,,,,,,,
00012403.jpg,0,,,,,,,,
00012404.jpg,0,,,,,,,,
00012405.jpg,0.0263938551,,,,,,,,
00012406.jpg,0.4940150122,,,,,,,,
00012407.jpg,0,,,,,,,,
00012408.jpg,0,,,,,,,,
00012409.jpg,0,,,,,,,,
00012410.jpg,0,,,,,,,,
00012411.jpg,0,,,,,,,,
00012412.jpg,0,,,,,,,,
00012413.jpg,0.4308450342,,,,,,,,
00012414.jpg,0,,,,,,,,
00012415.jpg,0.4221943785,,,,,,,,
00012416.jpg,0.3226507333,,,,,,,,
00012417.jpg,0.4513754126,,,,,,,,
00012418.jpg,0,,,,,,,,
00012419.jpg,0,,,,,,,,
00012420.jpg,0,,,,,,,,
00012421.jpg,0,,,,,,,,
00012422.jpg,0,,,,,,,,
00012423.jpg,0,,,,,,,,
00012424.jpg,0,,,,,,,,
00012425.jpg,0,,,,,,,,
00012426.jpg,0,,,,,,,,
00012427.jpg,0,,,,,,,,
00012428.jpg,0.3044864664,,,,,,,,
00012429.jpg,0.0261273534,,,,,,,,
00012430.jpg,0,,,,,,,,
00012431.jpg,0,,,,,,,,
00012432.jpg,0,,,,,,,,
00012433.jpg,0,,,,,,,,
00012434.jpg,0,,,,,,,,
00012435.jpg,0,,,,,,,,
00012436.jpg,0,,,,,,,,
00012437.jpg,0,,,,,,,,
00012438.jpg,0.4219895288,,,,,,,,
00012439.jpg,0.2827167311,,,,,,,,
00012440.jpg,0,,,,,,,,
00012441.jpg,0,,,,,,,,
00012442.jpg,0,,,,,,,,
00012443.jpg,0,,,,,,,,
00012444.jpg,0,,,,,,,,
00012445.jpg,0,,,,,,,,
00012446.jpg,0,,,,,,,,
00012447.jpg,0,,,,,,,,
00012448.jpg,0.4657940441,,,,,,,,
00012449.jpg,0,,,,,,,,
00012450.jpg,0,,,,,,,,
00012451.jpg,0,,,,,,,,
00012452.jpg,0,,,,,,,,
00012453.jpg,0,,,,,,,,
00012454.jpg,0,,,,,,,,
00012455.jpg,0,,,,,,,,
00012456.jpg,0,,,,,,,,
00012457.jpg,0,,,,,,,,
00012458.jpg,0.2323228052,,,,,,,,
00012459.jpg,0.1035154438,,,,,,,,
00012460.jpg,0,,,,,,,,
00012461.jpg,0,,,,,,,,
00012462.jpg,0,,,,,,,,
00012463.jpg,0,,,,,,,,
00012464.jpg,0.126350335,,,,,,,,
00012465.jpg,0.4488513802,,,,,,,,
00012466.jpg,0.4696619365,,,,,,,,
00012467.jpg,0.2809444629,,,,,,,,
00012468.jpg,0,,,,,,,,
00012469.jpg,0,,,,,,,,
00012470.jpg,0.0856889283,,,,,,,,
00012471.jpg,0,,,,,,,,
00012472.jpg,0.1152347374,,,,,,,,
00012473.jpg,0,,,,,,,,
00012474.jpg,0.8141305907,,,,,,,,
00012475.jpg,0.1350925713,,,,,,,,
00012476.jpg,0,,,,,,,,
00012477.jpg,0.491352769,,,,,,,,
00012478.jpg,0,,,,,,,,
00012479.jpg,0,,,,,,,,
00012480.jpg,0,,,,,,,,
00012481.jpg,0,,,,,,,,
00012482.jpg,0,,,,,,,,
00012483.jpg,0,,,,,,,,
00012484.jpg,0,,,,,,,,
00012485.jpg,0,,,,,,,,
00012486.jpg,0,,,,,,,,
00012487.jpg,0,,,,,,,,
00012488.jpg,0.4764124074,,,,,,,,
00012489.jpg,0,,,,,,,,
00012490.jpg,0,,,,,,,,
00012491.jpg,0,,,,,,,,
00012492.jpg,0,,,,,,,,
00012493.jpg,0,,,,,,,,
00012494.jpg,0,,,,,,,,
00012495.jpg,0,,,,,,,,
00012496.jpg,0,,,,,,,,
00012497.jpg,0,,,,,,,,
00012498.jpg,0.2982254297,,,,,,,,
00012499.jpg,0.3722709104,,,,,,,,
00012500.jpg,0.4339561408,,,,,,,,
00012501.jpg,0.4958898393,,,,,,,,
00012502.jpg,0,,,,,,,,
00012503.jpg,0.038679773,,,,,,,,
00012504.jpg,0.0265728709,,,,,,,,
00012505.jpg,0,,,,,,,,
00012506.jpg,0.33460719,,,,,,,,
00012507.jpg,0,,,,,,,,
00012508.jpg,0,,,,,,,,
00012509.jpg,0,,,,,,,,
00012510.jpg,0.2540415704,,,,,,,,
00012511.jpg,0.4808317089,,,,,,,,
00012512.jpg,0.4698700892,,,,,,,,
00012513.jpg,0,,,,,,,,
00012514.jpg,0.4523213465,,,,,,,,
00012515.jpg,0.4762593396,,,,,,,,
00012516.jpg,0.4683977096,,,,,,,,
00012517.jpg,0,,,,,,,,
00012518.jpg,0,,,,,,,,
00012519.jpg,0,,,,,,,,
00012520.jpg,0,,,,,,,,
00012521.jpg,0,,,,,,,,
00012522.jpg,0,,,,,,,,
00012523.jpg,0,,,,,,,,
00012524.jpg,0,,,,,,,,
00012525.jpg,0,,,,,,,,
00012526.jpg,0,,,,,,,,
00012527.jpg,0,,,,,,,,
00012528.jpg,0.5610969264,,,,,,,,
00012529.jpg,0,,,,,,,,
00012530.jpg,0,,,,,,,,
00012531.jpg,0,,,,,,,,
00012532.jpg,0,,,,,,,,
00012533.jpg,0,,,,,,,,
00012534.jpg,0,,,,,,,,
00012535.jpg,0,,,,,,,,
00012536.jpg,0,,,,,,,,
00012537.jpg,0,,,,,,,,
00012538.jpg,0,,,,,,,,
00012539.jpg,0.1171131606,,,,,,,,
00012540.jpg,0,,,,,,,,
00012541.jpg,0,,,,,,,,
00012542.jpg,0,,,,,,,,
00012543.jpg,0,,,,,,,,
00012544.jpg,0,,,,,,,,
00012545.jpg,0,,,,,,,,
00012546.jpg,0,,,,,,,,
00012547.jpg,0,,,,,,,,
00012548.jpg,0.0418336673,,,,,,,,
00012549.jpg,0.3923009432,,,,,,,,
00012550.jpg,0,,,,,,,,
00012551.jpg,0,,,,,,,,
00012552.jpg,0,,,,,,,,
00012553.jpg,0,,,,,,,,
00012554.jpg,0,,,,,,,,
00012555.jpg,0,,,,,,,,
00012556.jpg,0,,,,,,,,
00012557.jpg,0,,,,,,,,
00012558.jpg,0,,,,,,,,
00012559.jpg,0,,,,,,,,
00012560.jpg,0.2718750823,,,,,,,,
00012561.jpg,0.2930619796,,,,,,,,
00012562.jpg,0,,,,,,,,
00012563.jpg,0.4677013006,,,,,,,,
00012564.jpg,0,,,,,,,,
00012565.jpg,0.3099372695,,,,,,,,
00012566.jpg,0.4827988338,,,,,,,,
00012567.jpg,0.4352810518,,,,,,,,
00012568.jpg,0,,,,,,,,
00012569.jpg,0,,,,,,,,
00012570.jpg,0.4501476362,,,,,,,,
00012571.jpg,0,,,,,,,,
00012572.jpg,0.4865438896,,,,,,,,
00012573.jpg,0.0147650511,,,,,,,,
00012574.jpg,0,,,,,,,,
00012575.jpg,0,,,,,,,,
00012576.jpg,0.4739653785,,,,,,,,
00012577.jpg,0,,,,,,,,
00012578.jpg,0,,,,,,,,
00012579.jpg,0,,,,,,,,
00012580.jpg,0,,,,,,,,
00012581.jpg,0,,,,,,,,
00012582.jpg,0,,,,,,,,
00012583.jpg,0,,,,,,,,
00012584.jpg,0,,,,,,,,
00012585.jpg,0,,,,,,,,
00012586.jpg,0,,,,,,,,
00012587.jpg,0,,,,,,,,
00012588.jpg,0.3501892653,,,,,,,,
00012589.jpg,0.4328988575,,,,,,,,
00012590.jpg,0,,,,,,,,
00012591.jpg,0,,,,,,,,
00012592.jpg,0,,,,,,,,
00012593.jpg,0,,,,,,,,
00012594.jpg,0,,,,,,,,
00012595.jpg,0,,,,,,,,
00012597.jpg,0,,,,,,,,
00012598.jpg,0.0707944219,,,,,,,,
00012599.jpg,0,,,,,,,,
00012600.jpg,0.2913484727,,,,,,,,
00012601.jpg,0.3989867004,,,,,,,,
00012602.jpg,0.471610301,,,,,,,,
00012603.jpg,0.0750354898,,,,,,,,
00012604.jpg,0.2744362847,,,,,,,,
00012605.jpg,0.4261012354,,,,,,,,
00012606.jpg,0.5042469957,,,,,,,,
00012607.jpg,0.4824554639,,,,,,,,
00012608.jpg,0,,,,,,,,
00012609.jpg,0,,,,,,,,
00012610.jpg,0.4698608964,,,,,,,,
00012611.jpg,0.4587308171,,,,,,,,
00012612.jpg,0,,,,,,,,
00012613.jpg,0.477745115,,,,,,,,
00012614.jpg,0.4758227721,,,,,,,,
00012615.jpg,0.3812003472,,,,,,,,
00012616.jpg,0,,,,,,,,
00012617.jpg,0.4695431472,,,,,,,,
00012618.jpg,0,,,,,,,,
00012619.jpg,0,,,,,,,,
00012620.jpg,0,,,,,,,,
00012621.jpg,0,,,,,,,,
00012622.jpg,0,,,,,,,,
00012623.jpg,0,,,,,,,,
00012624.jpg,0,,,,,,,,
00012625.jpg,0,,,,,,,,
00012626.jpg,0,,,,,,,,
00012627.jpg,0,,,,,,,,
00012628.jpg,0.2722682638,,,,,,,,
00012629.jpg,0.2939784271,,,,,,,,
00012630.jpg,0,,,,,,,,
00012631.jpg,0,,,,,,,,
00012632.jpg,0,,,,,,,,
00012633.jpg,0,,,,,,,,
00012634.jpg,0,,,,,,,,
00012635.jpg,0,,,,,,,,
00012636.jpg,0,,,,,,,,
00012637.jpg,0,,,,,,,,
00012638.jpg,0.0397277911,,,,,,,,
00012639.jpg,0,,,,,,,,
00012640.jpg,0,,,,,,,,
00012641.jpg,0,,,,,,,,
00012642.jpg,0,,,,,,,,
00012643.jpg,0,,,,,,,,
00012644.jpg,0,,,,,,,,
00012645.jpg,0,,,,,,,,
00012646.jpg,0,,,,,,,,
00012647.jpg,0,,,,,,,,
00012648.jpg,0,,,,,,,,
00012649.jpg,0,,,,,,,,
00012650.jpg,0,,,,,,,,
00012651.jpg,0,,,,,,,,
00012652.jpg,0,,,,,,,,
00012653.jpg,0,,,,,,,,
00012654.jpg,0,,,,,,,,
00012655.jpg,0,,,,,,,,
00012656.jpg,0,,,,,,,,
00012657.jpg,0,,,,,,,,
00012658.jpg,0,,,,,,,,
00012659.jpg,0.4687290645,,,,,,,,
00012660.jpg,0.472041047,,,,,,,,
00012661.jpg,0,,,,,,,,
00012662.jpg,0.4727465161,,,,,,,,
00012663.jpg,0.2363367799,,,,,,,,
00012664.jpg,0,,,,,,,,
00012665.jpg,0.0230658337,,,,,,,,
00012666.jpg,0.0731416231,,,,,,,,
00012667.jpg,0.4726767326,,,,,,,,
00012668.jpg,0,,,,,,,,
00012669.jpg,0,,,,,,,,
00012670.jpg,0.004154916,,,,,,,,
00012671.jpg,0.1513317191,,,,,,,,
00012672.jpg,0.2342451831,,,,,,,,
00012673.jpg,0.4007390518,,,,,,,,
00012674.jpg,0,,,,,,,,
00012675.jpg,0,,,,,,,,
00012676.jpg,0.2984955186,,,,,,,,
00012677.jpg,0.4816053512,,,,,,,,
00012678.jpg,0,,,,,,,,
00012679.jpg,0,,,,,,,,
00012680.jpg,0,,,,,,,,
00012681.jpg,0,,,,,,,,
00012682.jpg,0,,,,,,,,
00012683.jpg,0,,,,,,,,
00012684.jpg,0,,,,,,,,
00012685.jpg,0,,,,,,,,
00012686.jpg,0,,,,,,,,
00012687.jpg,0,,,,,,,,
00012688.jpg,0.4844184576,,,,,,,,
00012689.jpg,0.5015347854,,,,,,,,
00012690.jpg,0,,,,,,,,
00012691.jpg,0,,,,,,,,
00012692.jpg,0,,,,,,,,
00012693.jpg,0,,,,,,,,
00012694.jpg,0,,,,,,,,
00012695.jpg,0,,,,,,,,
00012696.jpg,0,,,,,,,,
00012697.jpg,0,,,,,,,,
00012698.jpg,0.2761326776,,,,,,,,
00012699.jpg,0.6261222099,,,,,,,,
00012700.jpg,0.1668889785,,,,,,,,
00012701.jpg,0.4755614267,,,,,,,,
00012702.jpg,0.3066742727,,,,,,,,
00012703.jpg,0.4810667231,,,,,,,,
00012704.jpg,0.4658248109,,,,,,,,
00012705.jpg,0,,,,,,,,
00012706.jpg,0,,,,,,,,
00012707.jpg,0,,,,,,,,
00012708.jpg,0,,,,,,,,
00012709.jpg,0,,,,,,,,
00012710.jpg,0,,,,,,,,
00012711.jpg,0,,,,,,,,
00012712.jpg,0.4814108828,,,,,,,,
00012713.jpg,0.4751131222,,,,,,,,
00012714.jpg,0,,,,,,,,
00012715.jpg,0.3170008543,,,,,,,,
00012716.jpg,0.0889748549,,,,,,,,
00012717.jpg,0.570985009,,,,,,,,
