filename,width,height,class,xmin,ymin,xmax,ymax
00012059.jpg,342,228,,85,11,107,20
00012059.jpg,342,228,,101,10,133,20
00012060.jpg,720,480,,372,92,587,199
00012060.jpg,720,480,,275,18,421,88
00012061.jpg,720,480,,487,147,623,210
00012062.jpg,342,228,,256,48,334,86
00012064.jpg,342,228,,126,96,276,152
00012064.jpg,342,228,,224,61,253,76
00012065.jpg,720,480,,114,47,138,59
00012067.jpg,720,480,,437,131,493,158
00012067.jpg,720,480,,362,237,468,317
00012070.jpg,720,480,,70,36,119,58
00012070.jpg,720,480,,289,64,546,175
00012071.jpg,720,480,,609,129,647,155
00012071.jpg,720,480,,384,189,477,246
00012071.jpg,720,480,,600,171,654,212
00012072.jpg,720,480,,251,208,478,341
00012072.jpg,720,480,,137,39,198,64
00012072.jpg,720,480,,107,45,153,66
00012072.jpg,720,480,,79,43,123,65
00012072.jpg,720,480,,305,58,338,77
00012073.jpg,720,480,,226,82,276,104
00012073.jpg,720,480,,325,137,425,197
00012074.jpg,342,228,,146,48,261,91
00012075.jpg,720,480,,194,270,411,434
00012075.jpg,720,480,,607,121,645,150
00012075.jpg,720,480,,599,170,654,211
00012075.jpg,720,480,,170,262,313,330
00012075.jpg,720,480,,692,143,715,172
00012075.jpg,720,480,,555,90,578,105
00012076.jpg,720,480,,412,270,691,441
00012076.jpg,720,480,,178,183,240,209
00012089.jpg,342,228,,79,53,129,72
00012089.jpg,342,228,,199,78,321,133
00012089.jpg,342,228,,196,74,301,113
00012098.jpg,720,480,,82,160,290,270
00012099.jpg,720,480,,110,51,175,82
00012100.jpg,720,480,,111,290,326,465
00012100.jpg,720,480,,458,84,515,122
00012101.jpg,720,480,,156,183,339,268
00012102.jpg,720,480,,198,50,247,71
00012102.jpg,720,480,,393,142,538,223
00012102.jpg,720,480,,634,168,696,223
00012103.jpg,720,480,,525,160,677,226
00012103.jpg,720,480,,89,130,164,159
00012104.jpg,342,228,,120,60,218,105
00012104.jpg,342,228,,88,22,116,34
00012105.jpg,720,480,,369,43,429,79
00012105.jpg,720,480,,571,30,628,52
00012105.jpg,720,480,,632,185,715,336
00012105.jpg,720,480,,462,31,495,44
00012105.jpg,720,480,,81,164,178,219
00012106.jpg,720,480,,342,208,470,278
00012106.jpg,720,480,,5,247,52,293
00012107.jpg,720,480,,412,132,614,271
00012107.jpg,720,480,,354,12,447,48
00012111.jpg,720,480,,206,154,505,291
00012111.jpg,720,480,,615,184,709,226
00012111.jpg,720,480,,463,145,558,195
00012112.jpg,342,228,,242,118,303,154
00012113.jpg,720,480,,272,145,501,323
00012114.jpg,720,480,,548,64,636,103
00012115.jpg,720,480,,489,95,667,183
00012115.jpg,720,480,,191,3,243,33
00012116.jpg,720,480,,126,38,212,83
00012116.jpg,720,480,,584,125,666,185
00012117.jpg,342,228,,220,97,338,154
00012128.jpg,720,480,,67,283,318,432
00012128.jpg,720,480,,41,47,80,64
00012128.jpg,720,480,,302,59,337,78
00012129.jpg,720,480,,268,285,512,463
00012129.jpg,720,480,,208,48,268,69
00012138.jpg,720,480,,525,129,720,228
00012138.jpg,720,480,,146,0,208,12
00012139.jpg,342,228,,191,106,311,177
00012139.jpg,342,228,,158,24,183,35
00012139.jpg,342,228,,90,10,113,19
00012139.jpg,342,228,,215,33,261,52
00012139.jpg,342,228,,99,12,127,20
00012148.jpg,720,480,,367,77,534,194
00012149.jpg,720,480,,149,168,357,327
00012149.jpg,720,480,,108,50,143,69
00012149.jpg,720,480,,193,47,240,66
00012149.jpg,720,480,,228,44,267,63
00012149.jpg,720,480,,635,169,688,222
00012158.jpg,342,228,,218,92,329,149
00012159.jpg,342,228,,258,34,279,44
00012159.jpg,342,228,,60,85,187,183
00012160.jpg,720,480,,534,100,571,123
00012160.jpg,720,480,,402,194,494,251
00012160.jpg,720,480,,612,198,638,220
00012161.jpg,720,480,,46,144,89,166
00012161.jpg,720,480,,425,83,601,140
00012161.jpg,720,480,,560,134,709,213
00012162.jpg,342,228,,253,41,278,59
00012163.jpg,720,480,,334,103,389,130
00012163.jpg,720,480,,321,193,414,293
00012164.jpg,720,480,,291,375,655,474
00012164.jpg,720,480,,629,138,719,246
00012165.jpg,342,228,,178,27,208,37
00012165.jpg,342,228,,91,86,181,134
00012165.jpg,342,228,,109,21,133,32
00012165.jpg,342,228,,6,61,29,74
00012166.jpg,720,480,,31,225,282,329
00012167.jpg,720,480,,297,106,341,129
00012167.jpg,720,480,,473,235,606,343
00012167.jpg,720,480,,511,120,576,144
00012167.jpg,720,480,,565,170,632,205
00012170.jpg,720,480,,172,49,236,82
00012170.jpg,720,480,,202,70,291,111
00012170.jpg,720,480,,634,166,690,224
00012171.jpg,720,480,,400,187,548,301
00012171.jpg,720,480,,219,93,281,116
00012171.jpg,720,480,,358,118,422,154
00012172.jpg,342,228,,128,100,273,156
00012172.jpg,342,228,,137,107,229,147
00012174.jpg,720,480,,530,89,567,119
00012174.jpg,720,480,,360,131,444,182
00012174.jpg,720,480,,546,58,572,74
00012174.jpg,720,480,,564,42,596,64
00012175.jpg,342,228,,38,107,128,140
00012176.jpg,720,480,,230,129,260,151
00012176.jpg,720,480,,376,136,418,159
00012176.jpg,720,480,,455,151,719,276
00012176.jpg,720,480,,317,122,349,138
00012177.jpg,342,228,,10,69,82,103
00012188.jpg,720,480,,610,129,645,155
00012188.jpg,720,480,,190,225,339,298
00012188.jpg,720,480,,591,159,636,208
00012189.jpg,720,480,,46,46,83,63
00012189.jpg,720,480,,140,127,318,205
00012189.jpg,720,480,,140,127,318,205
00012198.jpg,720,480,,562,121,709,245
00012198.jpg,720,480,,9,153,180,256
00012199.jpg,720,480,,497,395,671,447
00012200.jpg,720,480,,299,96,467,170
00012201.jpg,342,228,,127,53,212,84
00012201.jpg,342,228,,124,55,221,97
00012201.jpg,342,228,,135,39,163,50
00012202.jpg,720,480,,214,231,389,357
00012202.jpg,720,480,,450,84,491,106
00012202.jpg,720,480,,204,84,286,113
00012203.jpg,720,480,,57,251,183,405
00012203.jpg,720,480,,250,125,285,148
00012203.jpg,720,480,,254,121,293,144
00012204.jpg,342,228,,28,98,146,148
00012204.jpg,342,228,,54,28,128,55
00012204.jpg,342,228,,293,61,340,104
00012205.jpg,342,228,,41,44,60,54
00012205.jpg,342,228,,4,50,22,63
00012205.jpg,342,228,,89,26,112,36
00012205.jpg,342,228,,97,94,204,141
00012205.jpg,342,228,,93,46,154,69
00012206.jpg,342,228,,152,66,191,85
00012207.jpg,342,228,,89,12,113,22
00012210.jpg,720,480,,359,219,486,341
00012210.jpg,720,480,,658,49,695,71
00012210.jpg,720,480,,556,67,583,87
00012211.jpg,342,228,,7,51,24,63
00012211.jpg,342,228,,121,25,145,34
00012211.jpg,342,228,,73,26,92,34
00012211.jpg,342,228,,28,71,68,92
00012211.jpg,342,228,,196,55,308,114
00012212.jpg,720,480,,605,128,643,157
00012212.jpg,720,480,,189,232,333,318
00012212.jpg,720,480,,591,160,636,208
00012214.jpg,720,480,,250,27,533,234
00012215.jpg,720,480,,152,327,341,469
00012215.jpg,720,480,,527,111,565,133
00012216.jpg,720,480,,16,322,206,435
00012228.jpg,720,480,,230,139,407,226
00012228.jpg,720,480,,359,372,702,480
00012228.jpg,720,480,,43,117,125,156
00012228.jpg,720,480,,84,42,131,64
00012228.jpg,720,480,,58,169,239,262
00012228.jpg,720,480,,104,42,151,61
00012229.jpg,720,480,,221,227,428,342
00012238.jpg,342,228,,13,106,98,140
00012239.jpg,720,480,,241,303,437,412
00012248.jpg,720,480,,52,159,85,183
00012248.jpg,720,480,,157,152,357,272
00012248.jpg,720,480,,134,317,181,361
00012258.jpg,720,480,,175,102,373,194
00012258.jpg,720,480,,494,337,710,463
00012259.jpg,720,480,,610,130,647,155
00012259.jpg,720,480,,599,170,653,211
00012259.jpg,720,480,,86,327,322,478
00012259.jpg,720,480,,185,323,332,412
00012259.jpg,720,480,,111,134,156,157
00012259.jpg,720,480,,326,110,373,128
00012259.jpg,720,480,,226,126,264,144
00012260.jpg,342,228,,193,100,259,127
00012260.jpg,342,228,,213,55,246,66
00012262.jpg,720,480,,62,176,227,266
00012262.jpg,720,480,,10,117,86,165
00012262.jpg,720,480,,106,42,155,62
00012262.jpg,720,480,,119,128,255,189
00012262.jpg,720,480,,241,112,367,163
00012262.jpg,720,480,,6,99,47,127
00012262.jpg,720,480,,79,42,122,64
00012262.jpg,720,480,,147,31,208,55
00012263.jpg,720,480,,38,326,313,479
00012263.jpg,720,480,,207,147,339,226
00012264.jpg,720,480,,211,49,263,66
00012265.jpg,720,480,,493,237,644,345
00012265.jpg,720,480,,568,171,630,204
00012266.jpg,720,480,,170,103,269,201
00012267.jpg,342,228,,111,141,248,222
00012267.jpg,342,228,,194,62,228,76
00012267.jpg,342,228,,174,27,201,39
00012270.jpg,720,480,,388,295,603,396
00012270.jpg,720,480,,74,168,140,204
00012271.jpg,720,480,,12,118,41,147
00012271.jpg,720,480,,338,33,404,58
00012271.jpg,720,480,,531,47,577,73
00012271.jpg,720,480,,331,146,447,225
00012272.jpg,720,480,,561,166,627,199
00012273.jpg,720,480,,631,85,714,140
00012276.jpg,720,480,,447,262,500,309
00012277.jpg,720,480,,201,369,638,480
00012277.jpg,720,480,,415,83,640,211
00012288.jpg,342,228,,133,50,214,84
00012288.jpg,342,228,,95,102,206,149
00012289.jpg,720,480,,553,117,582,135
00012298.jpg,720,480,,325,156,513,243
00012298.jpg,720,480,,127,204,333,292
00012298.jpg,720,480,,304,64,334,80
00012298.jpg,720,480,,42,48,81,66
00012299.jpg,720,480,,3,242,235,343
00012299.jpg,720,480,,26,104,175,178
00012300.jpg,720,480,,632,113,714,155
00012301.jpg,720,480,,257,188,513,384
00012302.jpg,720,480,,137,117,199,142
00012303.jpg,720,480,,593,194,712,322
00012304.jpg,720,480,,553,72,580,94
00012304.jpg,720,480,,659,44,694,68
00012305.jpg,720,480,,325,210,430,320
00012305.jpg,720,480,,273,113,312,139
00012306.jpg,720,480,,194,29,343,90
00012310.jpg,720,480,,92,75,276,166
00012310.jpg,720,480,,15,38,45,57
00012311.jpg,720,480,,494,393,675,449
00012311.jpg,720,480,,282,206,367,264
00012312.jpg,720,480,,56,129,78,141
00012312.jpg,720,480,,417,67,471,91
00012312.jpg,720,480,,201,104,441,189
00012313.jpg,720,480,,19,150,574,307
00012313.jpg,720,480,,647,221,708,257
00012314.jpg,720,480,,156,42,197,59
00012314.jpg,720,480,,612,116,701,164
00012314.jpg,720,480,,80,105,238,181
00012316.jpg,720,480,,289,376,658,472
00012316.jpg,720,480,,481,117,569,175
00012317.jpg,720,480,,296,47,450,117
00012329.jpg,720,480,,496,90,704,253
00012329.jpg,720,480,,113,36,159,61
00012338.jpg,720,480,,17,314,237,437
00012339.jpg,720,480,,260,222,501,328
00012348.jpg,342,228,,227,35,296,67
00012348.jpg,342,228,,26,55,89,86
00012348.jpg,342,228,,317,79,339,102
00012349.jpg,342,228,,128,94,234,142
00012358.jpg,720,480,,220,305,434,448
00012358.jpg,720,480,,562,110,584,130
00012358.jpg,720,480,,14,276,140,404
00012359.jpg,720,480,,22,127,373,480
00012360.jpg,720,480,,277,126,617,243
00012360.jpg,720,480,,194,132,247,154
00012360.jpg,720,480,,201,352,239,392
00012361.jpg,720,480,,478,147,538,177
00012361.jpg,720,480,,502,214,584,263
00012361.jpg,720,480,,591,168,651,198
00012361.jpg,720,480,,430,209,503,251
00012361.jpg,720,480,,343,154,402,182
00012361.jpg,720,480,,373,191,456,231
00012361.jpg,720,480,,550,243,635,296
00012361.jpg,720,480,,404,151,454,174
00012361.jpg,720,480,,633,176,693,207
00012361.jpg,720,480,,676,191,716,219
00012362.jpg,720,480,,288,318,469,442
00012363.jpg,720,480,,609,131,647,155
00012363.jpg,720,480,,599,172,652,211
00012363.jpg,720,480,,304,190,402,236
00012363.jpg,720,480,,377,117,423,137
00012363.jpg,720,480,,388,114,432,135
00012363.jpg,720,480,,228,127,268,145
00012364.jpg,720,480,,355,141,443,200
00012364.jpg,720,480,,563,164,629,202
00012366.jpg,720,480,,612,177,713,273
00012367.jpg,342,228,,126,99,275,213
00012370.jpg,720,480,,220,32,381,98
00012370.jpg,720,480,,499,349,715,466
00012372.jpg,720,480,,550,52,616,90
00012373.jpg,342,228,,157,24,183,35
00012373.jpg,342,228,,9,38,23,47
00012373.jpg,342,228,,101,10,131,20
00012373.jpg,342,228,,88,9,111,19
00012374.jpg,720,480,,368,92,487,132
00012375.jpg,720,480,,414,141,512,185
00012376.jpg,342,228,,110,23,135,33
00012376.jpg,342,228,,120,96,222,148
00012377.jpg,720,480,,357,108,592,222
00012377.jpg,720,480,,373,127,559,251
00012388.jpg,720,480,,198,114,462,232
00012388.jpg,720,480,,596,0,681,24
00012399.jpg,720,480,,351,78,509,141
00012401.jpg,720,480,,416,181,595,267
00012401.jpg,720,480,,23,152,77,186
00012401.jpg,720,480,,134,321,178,364
00012401.jpg,720,480,,405,69,439,85
00012401.jpg,720,480,,381,117,462,150
00012403.jpg,720,480,,82,177,266,268
00012404.jpg,720,480,,489,394,665,449
00012405.jpg,720,480,,200,56,467,291
00012405.jpg,720,480,,530,48,569,69
00012405.jpg,720,480,,428,19,474,38
00012405.jpg,720,480,,7,63,38,90
00012405.jpg,720,480,,184,27,233,45
00012406.jpg,720,480,,268,207,492,373
00012406.jpg,720,480,,275,172,421,266
00012407.jpg,342,228,,27,106,109,143
00012410.jpg,342,228,,42,107,121,140
00012411.jpg,342,228,,5,104,94,147
00012413.jpg,720,480,,174,178,479,361
00012413.jpg,720,480,,528,116,720,243
00012414.jpg,342,228,,15,129,126,181
00012415.jpg,720,480,,220,174,490,291
00012416.jpg,342,228,,127,56,226,95
00012416.jpg,342,228,,240,99,342,142
00012417.jpg,720,480,,106,167,161,215
00012417.jpg,720,480,,285,176,407,259
00012428.jpg,720,480,,229,29,346,79
00012428.jpg,720,480,,40,81,129,134
00012429.jpg,720,480,,155,41,197,59
00012438.jpg,720,480,,464,44,503,60
00012439.jpg,342,228,,202,57,273,91
00012448.jpg,342,228,,156,25,184,36
00012448.jpg,342,228,,266,108,342,152
00012448.jpg,342,228,,179,57,241,82
00012448.jpg,342,228,,89,11,111,20
00012448.jpg,342,228,,213,32,253,48
00012448.jpg,342,228,,99,11,132,20
00012449.jpg,342,228,,109,98,260,164
00012449.jpg,342,228,,270,60,335,96
00012458.jpg,720,480,,596,184,650,230
00012458.jpg,720,480,,600,145,646,188
00012458.jpg,720,480,,534,107,569,126
00012458.jpg,720,480,,589,236,659,308
00012458.jpg,720,480,,67,263,228,362
00012459.jpg,720,480,,29,144,67,165
00012461.jpg,720,480,,490,394,674,449
00012462.jpg,720,480,,152,67,196,100
00012462.jpg,720,480,,313,44,589,166
00012462.jpg,720,480,,15,47,50,78
00012463.jpg,720,480,,216,40,372,124
00012463.jpg,720,480,,68,31,144,58
00012464.jpg,720,480,,362,44,390,61
00012464.jpg,720,480,,396,68,481,124
00012464.jpg,720,480,,630,24,679,42
00012465.jpg,720,480,,431,212,649,327
00012466.jpg,720,480,,258,251,410,344
00012466.jpg,720,480,,606,127,643,158
00012466.jpg,720,480,,592,159,637,209
00012467.jpg,720,480,,352,127,399,162
00012467.jpg,720,480,,258,113,294,142
00012470.jpg,342,228,,68,37,97,50
00012470.jpg,342,228,,157,25,185,36
00012470.jpg,342,228,,128,43,169,61
00012470.jpg,342,228,,106,137,304,217
00012470.jpg,342,228,,87,11,108,20
00012472.jpg,342,228,,76,78,198,134
00012472.jpg,342,228,,239,48,318,84
00012473.jpg,720,480,,484,80,527,107
00012474.jpg,720,480,,284,136,554,254
00012475.jpg,720,480,,609,131,647,155
00012475.jpg,720,480,,449,126,499,156
00012475.jpg,720,480,,601,170,655,211
00012475.jpg,720,480,,70,295,222,407
00012476.jpg,720,480,,253,72,317,104
00012476.jpg,720,480,,446,91,514,137
00012477.jpg,720,480,,419,144,710,275
00012477.jpg,720,480,,137,165,164,181
00012477.jpg,720,480,,53,163,75,172
00012488.jpg,720,480,,301,149,414,196
00012489.jpg,720,480,,498,402,670,447
00012498.jpg,720,480,,122,39,213,86
00012499.jpg,720,480,,528,108,567,130
00012499.jpg,720,480,,223,266,426,406
00012499.jpg,720,480,,422,130,483,160
00012500.jpg,720,480,,546,115,720,212
00012501.jpg,342,228,,160,28,231,56
00012501.jpg,342,228,,116,53,213,87
00012502.jpg,720,480,,568,85,716,154
00012503.jpg,720,480,,478,70,509,84
00012504.jpg,720,480,,615,53,664,74
00012504.jpg,720,480,,83,233,337,337
00012504.jpg,720,480,,92,75,132,98
00012504.jpg,720,480,,39,160,164,226
00012506.jpg,342,228,,124,59,214,102
00012506.jpg,342,228,,26,78,72,103
00012506.jpg,342,228,,153,23,179,33
00012506.jpg,342,228,,85,26,114,37
00012506.jpg,342,228,,135,24,164,33
00012506.jpg,342,228,,186,63,262,92
00012510.jpg,720,480,,31,144,69,167
00012511.jpg,720,480,,521,139,716,263
00012512.jpg,342,228,,132,58,225,96
00012514.jpg,720,480,,151,231,342,358
00012514.jpg,720,480,,597,161,634,209
00012514.jpg,720,480,,616,124,656,154
00012514.jpg,720,480,,612,242,711,361
00012515.jpg,720,480,,264,238,426,316
00012516.jpg,720,480,,232,235,462,317
00012517.jpg,342,228,,195,72,317,120
00012528.jpg,720,480,,574,124,719,250
00012529.jpg,342,228,,38,136,142,196
00012538.jpg,342,228,,35,117,126,154
00012539.jpg,342,228,,156,24,183,36
00012539.jpg,342,228,,248,92,342,142
00012539.jpg,342,228,,47,30,82,46
00012539.jpg,342,228,,102,10,133,20
00012548.jpg,720,480,,554,64,635,103
00012548.jpg,720,480,,390,29,421,43
00012549.jpg,720,480,,376,283,586,429
00012558.jpg,720,480,,595,184,658,232
00012558.jpg,720,480,,597,168,657,215
00012558.jpg,720,480,,607,149,651,184
00012558.jpg,720,480,,581,249,658,315
00012558.jpg,720,480,,300,187,407,247
00012560.jpg,720,480,,269,125,323,158
00012560.jpg,720,480,,335,173,519,245
00012560.jpg,720,480,,224,149,264,182
00012560.jpg,720,480,,14,279,46,308
00012561.jpg,720,480,,406,57,450,84
00012561.jpg,720,480,,362,433,413,466
00012562.jpg,342,228,,198,96,333,154
00012563.jpg,720,480,,150,211,391,377
00012564.jpg,342,228,,37,147,149,210
00012564.jpg,342,228,,234,81,269,99
00012565.jpg,720,480,,609,132,647,155
00012565.jpg,720,480,,599,171,653,211
00012565.jpg,720,480,,547,83,589,106
00012565.jpg,720,480,,226,149,319,191
00012566.jpg,720,480,,375,205,490,313
00012567.jpg,720,480,,232,112,457,247
00012567.jpg,720,480,,66,47,126,81
00012570.jpg,720,480,,219,105,497,260
00012572.jpg,720,480,,506,236,694,329
00012572.jpg,720,480,,595,146,651,178
00012573.jpg,342,228,,113,125,214,219
00012573.jpg,342,228,,157,25,182,35
00012573.jpg,342,228,,84,37,115,49
00012573.jpg,342,228,,87,11,110,20
00012573.jpg,342,228,,101,12,129,21
00012574.jpg,720,480,,35,153,321,287
00012575.jpg,342,228,,93,94,223,146
00012576.jpg,720,480,,385,182,570,309
00012576.jpg,720,480,,122,41,213,87
00012588.jpg,720,480,,390,282,670,445
00012589.jpg,720,480,,151,11,454,108
00012598.jpg,720,480,,453,177,507,200
00012598.jpg,720,480,,206,201,272,229
00012598.jpg,720,480,,501,117,550,135
00012598.jpg,720,480,,128,219,196,241
00012598.jpg,720,480,,37,226,101,260
00012598.jpg,720,480,,181,139,237,176
00012598.jpg,720,480,,416,97,460,117
00012600.jpg,720,480,,194,128,248,155
00012600.jpg,720,480,,321,100,352,120
00012600.jpg,720,480,,530,126,576,151
00012600.jpg,720,480,,343,146,392,178
00012600.jpg,720,480,,246,165,303,207
00012600.jpg,720,480,,7,119,46,146
00012601.jpg,720,480,,254,100,292,142
00012602.jpg,720,480,,129,170,189,210
00012603.jpg,720,480,,409,42,455,64
00012603.jpg,720,480,,455,85,511,123
00012603.jpg,720,480,,218,110,310,162
00012604.jpg,720,480,,40,276,287,394
00012604.jpg,720,480,,241,122,457,216
00012604.jpg,720,480,,189,2,243,34
00012605.jpg,720,480,,225,334,404,442
00012606.jpg,720,480,,289,158,478,241
00012606.jpg,720,480,,244,233,548,364
00012606.jpg,720,480,,80,44,118,65
00012606.jpg,720,480,,109,42,150,61
00012606.jpg,720,480,,2,118,39,157
00012607.jpg,342,228,,116,103,210,137
00012610.jpg,720,480,,369,148,441,186
00012611.jpg,342,228,,128,49,215,86
00012613.jpg,720,480,,174,317,436,421
00012613.jpg,720,480,,221,143,266,163
00012614.jpg,720,480,,248,131,297,151
00012614.jpg,720,480,,288,172,613,324
00012615.jpg,720,480,,493,104,526,124
00012615.jpg,720,480,,372,144,441,179
00012615.jpg,720,480,,95,110,176,148
00012617.jpg,720,480,,234,200,432,281
00012628.jpg,720,480,,496,147,637,224
00012628.jpg,720,480,,7,204,201,328
00012628.jpg,720,480,,606,48,658,71
00012628.jpg,720,480,,37,56,91,83
00012629.jpg,720,480,,249,221,323,271
00012629.jpg,720,480,,125,145,163,176
00012638.jpg,720,480,,414,18,450,37
00012639.jpg,342,228,,242,63,333,101
00012649.jpg,342,228,,196,98,317,153
00012649.jpg,342,228,,82,30,173,59
00012658.jpg,342,228,,9,106,103,143
00012659.jpg,720,480,,206,267,279,324
00012659.jpg,720,480,,398,199,467,233
00012659.jpg,720,480,,528,147,573,172
00012659.jpg,720,480,,483,150,533,176
00012659.jpg,720,480,,442,154,496,183
00012659.jpg,720,480,,605,166,662,193
00012659.jpg,720,480,,464,213,561,264
00012659.jpg,720,480,,628,174,688,206
00012659.jpg,720,480,,530,234,633,294
00012659.jpg,720,480,,367,215,432,250
00012659.jpg,720,480,,570,156,623,186
00012660.jpg,720,480,,515,125,633,231
00012661.jpg,720,480,,328,80,584,192
00012662.jpg,720,480,,127,126,197,167
00012663.jpg,342,228,,194,64,234,86
00012665.jpg,342,228,,104,116,192,166
00012665.jpg,342,228,,242,53,262,63
00012665.jpg,342,228,,13,98,91,128
00012666.jpg,720,480,,122,25,210,59
00012666.jpg,720,480,,289,64,530,183
00012667.jpg,342,228,,232,118,319,161
00012670.jpg,720,480,,102,95,460,355
00012670.jpg,720,480,,431,77,464,97
00012671.jpg,720,480,,498,100,528,115
00012672.jpg,720,480,,128,72,262,150
00012672.jpg,720,480,,19,141,160,276
00012672.jpg,720,480,,499,99,720,227
00012672.jpg,720,480,,516,107,720,217
00012673.jpg,342,228,,165,111,275,159
00012673.jpg,342,228,,197,24,228,34
00012673.jpg,342,228,,285,73,335,103
00012673.jpg,342,228,,2,50,15,63
00012674.jpg,342,228,,131,70,269,120
00012675.jpg,720,480,,499,338,712,463
00012676.jpg,342,228,,60,78,126,108
00012676.jpg,342,228,,26,52,73,80
00012677.jpg,342,228,,271,57,335,94
00012688.jpg,720,480,,586,222,720,313
00012688.jpg,720,480,,617,54,664,75
00012688.jpg,720,480,,149,65,196,89
00012689.jpg,720,480,,245,146,436,224
00012689.jpg,720,480,,270,233,564,354
00012689.jpg,720,480,,609,46,661,74
00012698.jpg,720,480,,91,247,194,311
00012698.jpg,720,480,,121,165,214,223
00012699.jpg,720,480,,412,225,658,455
00012699.jpg,720,480,,389,239,627,403
00012699.jpg,720,480,,39,135,130,247
00012700.jpg,720,480,,357,118,428,155
00012700.jpg,720,480,,215,82,278,104
00012700.jpg,720,480,,304,48,333,63
00012701.jpg,720,480,,582,233,717,338
00012702.jpg,720,480,,202,202,272,232
00012702.jpg,720,480,,623,203,693,269
00012702.jpg,720,480,,35,228,102,265
00012702.jpg,720,480,,420,98,472,120
00012703.jpg,720,480,,399,381,694,480
00012704.jpg,720,480,,113,354,329,471
00012704.jpg,720,480,,484,112,524,132
00012704.jpg,720,480,,331,106,382,129
00012704.jpg,720,480,,610,197,639,219
00012710.jpg,720,480,,93,126,166,156
00012712.jpg,720,480,,182,139,450,244
00012712.jpg,720,480,,607,46,656,73
00012713.jpg,342,228,,0,131,112,175
00012715.jpg,720,480,,197,44,278,74
00012715.jpg,720,480,,298,18,377,49
00012716.jpg,342,228,,189,102,307,165
00012716.jpg,342,228,,48,56,91,81
00012717.jpg,342,228,,141,140,280,220
00012717.jpg,342,228,,128,21,152,30
00012717.jpg,342,228,,156,25,182,36
00012728.jpg,720,480,,441,249,672,379
00012728.jpg,720,480,,152,123,294,202
00012728.jpg,720,480,,73,42,116,66
00012729.jpg,720,480,,284,149,414,253
00012729.jpg,720,480,,206,93,291,131
00012729.jpg,720,480,,560,53,598,76
00012729.jpg,720,480,,420,47,458,64
00012729.jpg,720,480,,450,43,488,59
00012729.jpg,720,480,,559,57,585,74
00012729.jpg,720,480,,368,54,412,72
00012738.jpg,342,228,,191,122,304,171
00012748.jpg,720,480,,338,79,378,104
00012748.jpg,720,480,,430,169,501,227
00012748.jpg,720,480,,343,33,380,58
00012748.jpg,720,480,,265,28,291,47
00012748.jpg,720,480,,208,272,250,319
00012749.jpg,720,480,,408,74,454,97
00012749.jpg,720,480,,405,29,428,38
00012758.jpg,720,480,,274,187,644,385
00012759.jpg,720,480,,465,76,568,183
00012759.jpg,720,480,,581,136,646,185
00012760.jpg,720,480,,612,310,718,457
00012760.jpg,720,480,,561,165,622,199
00012760.jpg,720,480,,651,147,698,175
00012760.jpg,720,480,,654,179,698,204
00012761.jpg,720,480,,183,72,223,98
00012761.jpg,720,480,,165,94,205,114
00012762.jpg,720,480,,207,4,280,30
00012762.jpg,720,480,,108,44,235,95
00012763.jpg,720,480,,346,331,543,470
00012763.jpg,720,480,,205,201,271,225
00012763.jpg,720,480,,499,117,550,137
00012763.jpg,720,480,,37,227,100,262
00012763.jpg,720,480,,342,81,393,108
00012763.jpg,720,480,,447,102,501,129
00012764.jpg,720,480,,523,98,570,134
